CAF,CAF0,CAF1,DC,ETC,EMT,Endo,TAM,TIL
COL6A2,COL11A1,C7,FCER1A,TMC5,SRPX,PLVAP,OLR1,CD2
AEBP1,SDC1,COLEC11,CD1C,SMIM22,HMGA2,RAMP2,FCGR3A,CD3D
THY1,GJB2,RARRES1,CD1E,EPCAM,ANGPTL4,VWF,MS4A7,CD3E
FBLN1,C1QTNF3,TGM2,CD1A,CTSE,SERPINE2,ECSCR,CYBB,PTPRCAP
COL5A1,MFAP5,F2R,SLC18A2,LIPH,DCBLD2,CALCRL,LST1,LCK
EMILIN1,COL12A1,ENG,CLEC10A,MAL2,SERPINE1,CLEC14A,C1orf162,CD3G
BGN,GREM1,GPC3,CD207,CAPN8,RP11-417E7.1,ELTD1,AIF1,ICOS
ASPN,FNDC1,LXN,CLEC4F,CYP3A5,NT5E,CDH5,SPI1,SH2D1A
MEG3,IGFL2,ABCA8,IL22RA2,AGR3,PLEKHG2,TIE1,MS4A6A,TIGIT
CDH11,LRRC15,TSHZ2,MIR142,VSIG2,SNAI2,RAMP3,MS4A4A,CD27
TIMP3,GJA1,SFRP4,HLA-DQB2,SLC44A4,TIMM50,PCDH17,SLC11A1,PYHIN1
PCOLCE,C5orf46,SOD3,IRF4,CLDN18,IGFBP6,CLDN5,CLEC7A,SPOCK2
MFAP4,RUNX2,FBLN5,CD1B,CXADR,EID2B,CD34,C5AR1,CD247
COL10A1,INHBA,INMT,S100B,RAB25,MT1M,FAM167B,FCGR2A,TRAT1
CTSK,COL10A1,HSD11B1,CD37,CDH1,NPW,EMCN,CD53,P2RY10
PDGFRB,ARL4C,PTGDS,PLD4,ERBB3,KRT14,AC011526.1,FCER1G,CXCR6
COX7A1,MMP11,FRZB,RGS1,LGALS4,RASSF8-AS1,MMRN2,SLC16A10,SIRPG
ISLR,THBS2,MFAP4,CSF2RA,LSR,SYT12,CXorf36,TREM2,CD7
COL5A2,MXRA5,ALDH1A1,CST7,S100A14,MT1A,IL3RA,MSR1,CD96
CLEC11A,TMEM158,RBP1,CORO1A,LAD1,PAEP,CYYR1,BCL2A1,RHOH
COL6A3,ITGA11,ADH1B,HLA-DOB,LINC01133,NFE4,MYCT1,IFI30,IL2RB
FSTL1,COL5A1,NFIA,P2RY14,ELF3,L1CAM,KDR,LAPTM5,RGL4
SPARCL1,ADAM12,COL14A1,GPR183,TSPAN1,MGC4294,FLT1,FPR3,FOXP3
C1S,PLAU,HSPB6,SPI1,TMPRSS4,AC005789.11,ROBO4,C1QC,SIT1
SFRP2,RP11-417E7.2,FXYD1,CD52,AGR2,COL13A1,GPR116,CD14,ITK
SFRP4,MFAP2,EPHA3,CYTIP,CLDN7,APCDD1L,S1PR1,LY86,PDCD1
CCDC80,BCAT1,CYGB,HCLS1,ARL14,MFI2,TM4SF18,ALOX5AP,CD28
COL4A2,F13A1,CST2,HPGDS,KRTCAP3,CYP27C1,BCL6B,LCP1,PTPN7
ANTXR1,IGF2,LTBP4,LAPTM5,SDCBP2,TMEM158,F2RL3,CD163,ZAP70
MXRA8,COL5A2,SEPP1,CD83,TMC4,COL7A1,RASIP1,CD37,PTPRC
THBS2,PRSS23,CD302,GMFG,MYH14,ITGA10,DLL4,TYROBP,CD5
C1R,PPAPDC1A,ABCA6,HLA-DQA1,CCDC64B,ITGA5,KANK3,MNDA,GPR171
TCF4,MMP14,CPED1,CCL22,PLA2G10,PLCXD3,SOX18,RNASE6,CD6
PRELP,COL8A1,TMEM100,STX11,TESC,CAPRIN2,GPR4,LILRB4,CD52
FBN1,RP11-400N13.3,MOXD1,MCOLN2,AMN,FSTL3,SOX17,CD86,CYTIP
SULF1,SCUBE3,CTSC,LSP1,SFTA2,KLHL4,SHANK3,PLEK,TBC1D10C
FBLN2,POSTN,A2M,AMICA1,C1orf106,LOX,PCDH12,EVI2B,GZMM
MMP2,CDH11,GPBAR1,CD48,TSPAN8,NTSR1,AFAP1L1,FYB,CORO1A
PRRX1,KLF6,CYP1B1,LAT2,MSLN,PAK4,ARHGEF15,C1QA,JAKMIP1
FAP,GALNT1,KCNMB1,CLEC4A,OCLN,TGM2,FLT4,ITGB2,AC002331.1
DCN,SLC16A3,SCN7A,CLECL1,SYT8,PLAT,NOTCH4,LAIR1,CTLA4
COL11A1,LOXL2,APOD,RUNX3,PKP3,KRT81,NOVA2,HCST,RUNX3
APOD,HTRA1,GSTM5,PTPN7,GPX2,CHST3,HECW2,PILRA,ACAP1
GGT5,DSG2,C16orf89,LCP1,EDN1,PDLIM4,ESAM,CSF1R,SH2D2A
HTRA3,DPYSL3,ABI3BP,TYROBP,ANXA10,RFX8,ERG,RP11-290F20.3,GZMA
IGFBP5,ACKR3,OGN,ALOX5AP,PLS1,LYPD3,CD93,S100A9,CD48
SPON2,SULF1,SLC29A1,RNASE6,CEACAM6,CAV1,SHE,VSIG4,ZBTB32
COL4A1,SUGCT,ITM2A,FCER1G,FXYD3,TNC,TSPAN7,HLA-DQA1,S1PR4
FRZB,SCT,HAND2-AS1,FCGR2B,PRSS8,PAF1,GABRD,SLCO2B1,CXCR3
FGF7,EPYC,METTL7A,LST1,EPS8L3,DKK3,CCM2L,HLA-DQA2,CXCR4